time,source_computer,computer_resolved
473,C1420,C1685
478,C4513,C1065
482,C2827,C1685
484,C5176,C5030
494,C5917,C359
495,C843,C1685
498,C421,C1065
503,C3380,C22841
505,C5913,C586
511,C253,C5030
514,C4508,C5030
516,C17065,C1685
517,C2299,C1685
528,C421,C1065
530,C453,C1707
531,C2492,C457
531,C3664,C231
534,C3380,C22841
542,C194,C5030
550,C1645,C1685
556,C2640,C5030
556,C3026,C921
560,C5917,C2109
563,C5917,C706
564,C3380,C22841
570,C1506,C1707
574,C5875,C586
579,C5917,C586
581,C5917,C467
584,C94,C5030
585,C3374,C5030
586,C631,C706
588,C5917,C231
591,C2492,C457
593,C3030,C5030
596,C3380,C22841
599,C2492,C457
607,C1750,C706
616,C1748,C5030
616,C25022,C5698
625,C3380,C22841
633,C2087,C528
639,C2640,C706
640,C1936,C2079
641,C1936,C2079
650,C1299,C528
650,C2438,C1685
650,C274,C1707
651,C2438,C1685
651,C2492,C457
653,C992,C1707
658,C3380,C22841
664,C3869,C3761
669,C1243,C5030
672,C3990,C706
679,C5778,C457
680,C5778,C2109
682,C5778,C1065
682,C5778,C586
686,C3380,C22841
689,C25022,C1685
697,C3496,C1065
697,C3496,C467
711,C2492,C457
720,C3380,C22841
723,C1653,C5030
730,C1947,C5030
738,C5778,C467
739,C1357,C1707
740,C2021,C1685
740,C5778,C2109
741,C5778,C467
747,C2320,C467
747,C3380,C22841
750,C3616,C5030
756,C26743,C26743
763,C3554,C467
764,C4643,C5720
765,C4643,C585
771,C2492,C457
773,C16137,C1685
773,C2798,C1685
781,C4600,C1707
782,C3380,C22841
786,C3629,C5030
789,C5461,C457
789,C5461,C586
793,C22442,C359
795,C4015,C5030
798,C24806,C1685
798,C24806,C1707
799,C894,C706
800,C3381,C5721
803,C5638,C706
808,C3380,C22841
809,C1804,C706
816,C5763,C3402
822,C1936,C1685
825,C3163,C5030
828,C5913,C1685
831,C2492,C457
836,C159,C706
841,C2493,C706
843,C1748,C706
843,C2303,C6050
844,C3380,C22841
846,C5875,C586
846,C5875,C612
847,C5875,C586
847,C5875,C612
849,C5111,C5030
849,C5875,C586
851,C5875,C1065
853,C5875,C586
854,C5875,C2109
858,C5875,C467
860,C5875,C1065
862,C5461,C5030
862,C5875,C1065
867,C23640,C1685
867,C4722,C706
868,C23640,C1707
869,C3380,C22841
872,C2475,C5030
874,C3030,C706
876,C1936,C1944
890,C2517,C3761
891,C2492,C457
892,C1423,C1707
893,C1420,C706
899,C2492,C457
900,C3440,C2436
901,C1191,C626
902,C18184,C18184
906,C3380,C22841
907,C5154,C706
911,C5332,C5030
912,C3544,C1707
912,C58,C706
913,C2159,C706
924,C3204,C1707
925,C2827,C743
926,C2320,C5588
926,C4653,C1707
927,C2299,C706
928,C3405,C1685
930,C3380,C22841
932,C4581,C706
936,C2229,C1707
946,C2769,C706
950,C2514,C612
951,C2492,C457
954,C3026,C5030
955,C23716,C5782
957,C3451,C1685
958,C3607,C3607
961,C253,C706
966,C3198,C1707
968,C3380,C22841
968,C5778,C1685
975,C2735,C1685
977,C4291,C1944
991,C3380,C22841
991,C5778,C625
996,C4081,C706
997,C4616,C5030
998,C4550,C1707
1008,C5875,C586
1011,C2492,C457
1013,C24436,C24436
1016,C13488,C1685
1016,C13488,C1707
1016,C2749,C5030
1019,C5913,C706
1022,C4412,C1685
1026,C2278,C5030
1028,C1653,C529
1028,C1653,C612
1030,C3380,C22841
1032,C5913,C2109
1035,C3026,C61
1035,C5913,C2109
1038,C1653,C586
1042,C1748,C1685
1047,C1804,C5030
1052,C3380,C22841
1054,C1653,C457
1063,C814,C1685
1064,C814,C1685
1067,C4988,C1685
1071,C2492,C457
1071,C5913,C586
1072,C5913,C586
1073,C5913,C586
1074,C5913,C586
1075,C4165,C706
1075,C5913,C586
1076,C23716,C5782
1077,C5913,C586
1079,C4367,C1685
1079,C5913,C2109
1080,C5913,C586
1081,C1645,C5030
1081,C23716,C5782
1081,C5913,C467
1081,C5913,C586
1082,C23716,C5782
1082,C5913,C467
1083,C5913,C457
1084,C23716,C5782
1084,C5913,C467
1086,C23716,C5782
1086,C5913,C586
1087,C23716,C5782
1087,C5913,C457
1088,C23716,C5782
1088,C657,C229
1089,C23716,C5782
1090,C23716,C5782
1090,C5913,C2109
1091,C23716,C5782
1091,C24057,C1685
1092,C23716,C5782
1092,C3380,C22841
1092,C5913,C2109
1094,C23716,C5782
1094,C5913,C2109
1096,C23716,C5782
1097,C5778,C528
1098,C23716,C5782
1098,C5778,C457
1099,C5778,C612
1100,C23716,C5782
1100,C5778,C529
1102,C2320,C467
1102,C23716,C5782
1103,C23716,C5782
1103,C2464,C706
1103,C3260,C706
1104,C23716,C5782
1105,C23716,C5782
1106,C23716,C5782
1106,C2735,C706
1108,C23716,C5782
1109,C23716,C5782
1110,C23716,C5782
1112,C23716,C5782
1113,C3380,C22841
1115,C453,C1707
1119,C5875,C586
1123,C5913,C586
1124,C5913,C586
1126,C1936,C5136
1129,C1954,C706
1130,C5778,C359
1130,C5913,C2109
1131,C2492,C457
1136,C3380,C457
1136,C3380,C5136
1136,C3380,C586
1137,C2303,C24947
1140,C4232,C706
1142,C3238,C706
1144,C3544,C706
1144,C5913,C586
1145,C5913,C586
1146,C5913,C586
1147,C5913,C586
1148,C1905,C706
1149,C159,C1707
1150,C1624,C706
1154,C3380,C22841
1157,C5778,C467
1158,C5778,C2109
1158,C5913,C457
1158,C709,C5030
1160,C5778,C457
1161,C5778,C2109
1162,C2798,C706
1164,C484,C5030
1174,C3380,C22841
1191,C2492,C457
1194,C1191,C102
1195,C94,C612
1196,C2852,C1685
1199,C2492,C457
1215,C22442,C359
1216,C3380,C22841
1217,C1191,C1685
1221,C3131,C5030
1224,C3021,C5030
1231,C2760,C706
1235,C3380,C22841
1241,C436,C706
1245,C3714,C706
1247,C4618,C706
1251,C2492,C457
1251,C709,C706
1252,C831,C1685
1256,C1506,C706
1256,C4618,C1707
1259,C1205,C706
1260,C2303,C1685
1261,C902,C706
1278,C3380,C22841
1283,C3165,C529
1283,C3165,C706
1284,C2021,C706
1288,C2517,C5030
1289,C4835,C706
1295,C3049,C706
1296,C3380,C22841
1304,C154,C1707
1307,C3143,C1707
1311,C2492,C457
1314,C94,C1707
1321,C1796,C1707
1324,C2908,C706
1327,C4914,C706
1329,C3122,C706
1334,C3380,C5640
1339,C1191,C5030
1340,C3380,C22841
1341,C337,C1685
1351,C4559,C706
1354,C122,C706
1357,C3380,C22841
1368,C5111,C1685
1370,C122,C1685
1371,C2492,C457
1373,C5913,C586
1374,C5913,C586
1375,C5045,C706
1377,C4297,C231
1394,C3990,C706
1398,C194,C1707
1398,C843,C1685
1401,C5043,C5030
1402,C3380,C22841
1406,C5913,C586
1408,C421,C1065
1408,C4367,C706
1409,C5045,C5030
1417,C17065,C1685
1417,C17065,C1707
1418,C3380,C22841
1421,C657,C706
1431,C1295,C706
1431,C2492,C457
1433,C2303,C12441
1438,C421,C1065
1443,C4077,C706
1445,C14244,C5698
1447,C4291,C1685
1459,C1205,C1685
1464,C3380,C22841
1467,C1191,C419
1473,C1506,C1707
1478,C1653,C625
1479,C3380,C22841
1484,C16137,C16137
1489,C337,C706
1491,C2492,C457
1498,C3260,C5030
1499,C2492,C457
1499,C4812,C5030
1499,C5633,C1685
1505,C2472,C5030
1507,C3629,C706
1512,C4581,C5030
1513,C3990,C5030
1514,C1191,C419
1515,C2533,C706
1516,C1191,C706
1525,C2852,C5030
1526,C3380,C22841
1528,C2464,C5030
1532,C3381,C706
1533,C2475,C706
1534,C5323,C1685
1536,C5778,C457
1537,C5778,C625
1539,C5778,C2109
1539,C5778,C625
1540,C3380,C22841
1551,C2492,C457
1560,C3587,C706
1568,C1435,C1707
1586,C2021,C2303
1588,C3380,C22841
1589,C4232,C5030
1589,C5902,C1685
1590,C5902,C1685
1595,C2320,C5588
1597,C5778,C529
1598,C5778,C467
1600,C5778,C1065
1601,C3380,C22841
1601,C5778,C529
1605,C4600,C359
1611,C2492,C457
1614,C2438,C1867
1617,C94,C706
1618,C4297,C5030
1620,C453,C706
1622,C1108,C1685
1625,C14244,C15539
1640,C2798,C1685
1641,C1357,C1707
1643,C4515,C706
1644,C1191,C1685
1648,C608,C5030
1650,C3380,C22841
1652,C2604,C706
1659,C608,C5136
1659,C608,C5588
1660,C608,C22529
1660,C608,C4222
1660,C608,C5136
1661,C608,C5640
1662,C3380,C22841
1667,C1420,C5030
1670,C16137,C1685
1671,C16137,C1707
1671,C2492,C457
1671,C2908,C5030
1674,C2798,C1685
1674,C3238,C1685
1675,C3629,C1685
1682,C2871,C1685
1683,C64,C706
1689,C18345,C359
1694,C1515,C5030
1697,C1006,C5030
1707,C2303,C8071
1712,C3380,C22841
1714,C3534,C2174
1716,C1796,C5030
1721,C2472,C1707
1721,C3380,C22841
1722,C657,C5030
1727,C2850,C467
1729,C5893,C1707
1731,C2492,C457
1731,C5893,C1685
1732,C5913,C1685
1733,C4513,C706
1744,C9201,C1685
1744,C9201,C1707
1745,C3044,C706
1756,C4753,C5030
1763,C2517,C706
1767,C1006,C706
1770,C2320,C467
1774,C3380,C22841
1778,C5638,C5030
1784,C3380,C22841
1787,C3457,C706
1791,C2492,C457
1793,C1453,C5030
1799,C2492,C457
1799,C3534,C586
1807,C4550,C5030
1810,C2772,C5030
1812,C3869,C1707
1817,C1800,C706
1820,C2090,C586
1820,C2299,C5030
1823,C4835,C1707
1827,C366,C5030
1833,C1928,C5030
1835,C768,C529
1836,C3380,C22841
1836,C768,C529
1837,C768,C529
1841,C1936,C2079
1842,C4517,C706
1845,C3380,C22841
1849,C3906,C1707
1851,C2492,C457
1852,C154,C359
1860,C1936,C2079
1860,C768,C586
1865,C253,C529
1865,C3374,C706
1869,C3198,C1707
1873,C5778,C1685
1874,C5778,C1685
1885,C3906,C706
1886,C4233,C706
1889,C843,C1685
1890,C768,C1065
1893,C315,C5030
1894,C5778,C625
1898,C3380,C22841
1903,C3554,C1065
1903,C3554,C1685
1904,C2492,C457
1904,C3554,C467
1904,C3554,C529
1904,C3554,C625
1906,C3380,C22841
1908,C17733,C359
1911,C2492,C457
1919,C4015,C1707
1922,C5461,C706
1924,C375,C706
1934,C5461,C1707
1935,C4508,C706
1938,C920,C1685
1939,C3496,C706
1947,C1515,C1685
1950,C2021,C5030
1954,C58,C1707
1960,C3380,C22841
1962,C17733,C1685
1962,C2475,C1707
1963,C17733,C1707
1965,C814,C1685
1967,C3380,C22841
1968,C5778,C625
1969,C3235,C5030
1969,C4988,C1707
1971,C2492,C457
1971,C5778,C529
1971,C5778,C586
1980,C3122,C467
1983,C64,C1707
1983,C806,C1707
1988,C13023,C1707
1990,C366,C1685
1997,C2604,C5030
1998,C2480,C706
2008,C3030,C1707
2010,C3204,C5030
2012,C4600,C529
2015,C1295,C5030
2018,C453,C1707
2020,C2496,C5030
2022,C3380,C22841
2026,C5778,C457
2026,C5778,C528
2028,C3380,C22841
2028,C5778,C528
2028,C5778,C529
2029,C5763,C3402
2032,C2492,C457
2044,C375,C5030
2046,C4722,C5030
2049,C24851,C5782
2051,C4352,C1707
2052,C814,C5030
2058,C3163,C706
2060,C2493,C5030
2062,C3380,C25295
2062,C3380,C5728
2066,C2772,C706
2072,C3049,C5030
2074,C4835,C2436
2075,C4081,C1685
2077,C4367,C1065
2084,C3380,C22841
2086,C4651,C5030
2089,C2480,C2479
2089,C3380,C22841
2092,C2492,C457
2092,C843,C706
2095,C1102,C2109
2095,C4254,C706
2098,C4131,C5030
2099,C2492,C457
2099,C5186,C706
2108,C5323,C706
2119,C1191,C1685
2129,C1928,C706
2132,C2683,C5030
2138,C1423,C706
2143,C1102,C2109
2144,C1102,C1707
2146,C3380,C22841
2147,C902,C1685
2147,C902,C5030
2148,C3235,C706
2150,C3380,C22841
2152,C14343,C1685
2152,C2492,C457
2152,C5154,C1685
2154,C831,C1685
2167,C4722,C1685
2174,C2077,C1685
2176,C4550,C706
2177,C4291,C1944
2178,C18345,C359
2182,C3869,C706
2183,C3165,C529
2183,C3165,C706
2185,C122,C5030
2186,C3380,C798
2188,C2749,C1065
2190,C1692,C706
2191,C1804,C1065
2194,C24851,C1685
2195,C24851,C1707
2206,C154,C1707
2208,C3380,C22841
2210,C3143,C1707
2211,C3380,C22841
2212,C2492,C457
2215,C5902,C706
2237,C1357,C706
2237,C1947,C706
2239,C768,C2109
2239,C768,C528
2240,C768,C467
2248,C4271,C1685
2255,C14244,C1797
2258,C4165,C5030
2261,C768,C612
2262,C2320,C5588
2263,C3380,C25294
2264,C894,C1065
2267,C4835,C5030
2270,C3380,C22841
2272,C2492,C457
2273,C3380,C22841
2276,C1420,C1685
2282,C4271,C5030
2287,C2827,C1685
2288,C2303,C10919
2288,C657,C229
2289,C4112,C5030
2296,C4297,C1707
2300,C843,C1685
2307,C5913,C586
2315,C2626,C585
2316,C2626,C743
2321,C2299,C1685
2322,C27086,C1685
2323,C27086,C1707
2325,C4914,C1685
2328,C3336,C1685
2330,C282,C706
2332,C2492,C457
2332,C25059,C1685
2332,C3380,C22841
2334,C3380,C22841
2341,C2321,C706
2345,C14244,C16950
2350,C4988,C706
2355,C2769,C1707
2357,C1645,C1685
2371,C1936,C1944
2377,C1506,C1707
2385,C5778,C612
2386,C5778,C625
2387,C4651,C706
2388,C5778,C586
2388,C5778,C625
2392,C2492,C457
2394,C2626,C528
2394,C3380,C22841
2395,C3380,C22841
2396,C3380,C22841
2399,C2492,C457
2412,C2749,C1685
2424,C2989,C706
2424,C3587,C5030
2432,C4858,C706
2435,C5323,C1707
2438,C2303,C706
2438,C2320,C467
2444,C768,C529
2446,C1102,C2109
2446,C5778,C625
2447,C5778,C528
2449,C5778,C1065
2450,C5778,C457
2452,C2492,C457
2452,C274,C1707
2456,C2438,C1685
2456,C3380,C22841
2456,C992,C1707
2457,C2438,C1685
2457,C3380,C22841
2458,C3380,C22841
2461,C5279,C5030
2465,C2548,C5030
2469,C409,C5030
2469,C768,C586
2476,C421,C1065
2490,C25022,C1685
2499,C768,C1065
2506,C421,C1065
2510,C274,C5030
2510,C5358,C706
2512,C2492,C457
2514,C3451,C706
2517,C161,C706
2518,C3380,C22841
2519,C3380,C22841
2520,C3380,C22841
2522,C3616,C706
2525,C18345,C359
2525,C894,C5030
2538,C631,C5030
2543,C1357,C1707
2558,C1435,C706
2564,C4858,C5030
2571,C3869,C5030
2572,C2492,C457
2572,C4412,C706
2573,C768,C529
2574,C768,C529
2576,C2798,C1685
2578,C3380,C22841
2580,C3380,C22841
2583,C1423,C5030
2583,C2303,C13898
2583,C2749,C706
2598,C768,C586
2607,C3544,C5030
2619,C3044,C5030
2621,C3380,C22841
2622,C2548,C706
2625,C1936,C1685
2628,C4616,C1685
2628,C768,C1065
2632,C2492,C457
2633,C3457,C1707
2636,C5913,C1685
2642,C3380,C22841
2656,C2229,C706
2660,C3440,C1685
2669,C768,C5030
2672,C831,C706
2675,C806,C5030
2682,C154,C1707
2682,C3694,C706
2684,C1653,C706
2687,C2090,C586
2691,C4254,C5030
2692,C2492,C457
2697,C1423,C1707
2699,C2492,C457
2700,C3380,C22841
2702,C18184,C18184
2704,C3380,C22841
2705,C2626,C706
2706,C4559,C5030
2706,C831,C1685
2709,C2493,C1707
2711,C4015,C706
2712,C4131,C706
2729,C2584,C1685
2735,C992,C706
2738,C2229,C1707
2746,C4858,C1685
2749,C1191,C419
2752,C2492,C457
2761,C3380,C22841
2766,C3380,C22841
2767,C3440,C5030
2770,C3444,C5030
2771,C3198,C1707
2772,C2438,C5030
2780,C5778,C1685
2782,C3204,C706
2783,C3380,C2013
2785,C3405,C706
2788,C421,C706
2792,C5045,C1707
2797,C5778,C625
2798,C1624,C5030
2808,C3380,C2013
2811,C1804,C1707
2812,C2492,C457
2812,C4077,C1685
2822,C3380,C22841
2824,C5913,C359
2828,C2480,C231
2828,C2850,C706
2828,C3380,C22841
2828,C5778,C457
2829,C5778,C528
2831,C5778,C528
2831,C5778,C612
2834,C2852,C706
2839,C3122,C1707
2842,C4600,C706
2844,C3616,C1685
2852,C1357,C1707
2853,C5763,C3402
2857,C4515,C1707
2858,C1453,C706
2859,C23724,C1685
2862,C3021,C2436
2865,C194,C706
2866,C843,C5030
2867,C814,C1685
2872,C2492,C457
2872,C3143,C706
2878,C2303,C11803
2878,C2827,C706
2880,C4377,C706
2881,C3380,C22167
2883,C3380,C22841
2888,C5778,C586
2888,C5778,C612
2889,C13023,C1685
2889,C13023,C1707
2890,C3198,C5030
2890,C3380,C22841
2890,C5778,C2109
2891,C5778,C612
2894,C4377,C5030
2899,C2159,C15644
2900,C3484,C1685
2909,C4914,C5030
2920,C2480,C5030
2920,C3664,C706
2921,C3380,C22841
2921,C453,C1707
2930,C2320,C5588
2932,C2492,C457
2939,C154,C706
2942,C2772,C467
2942,C4352,C5030
2952,C3380,C22841
2954,C159,C1707
2959,C3380,C5588
2965,C3143,C1707
2969,C2626,C706
2976,C2668,C706
2978,C2893,C706
2983,C2032,C706
2983,C2436,C706
2985,C4291,C5030
2992,C2492,C457
2992,C608,C1707
2996,C3336,C706
2999,C2492,C457
3005,C3198,C1707
3005,C3380,C22841
3006,C4377,C1707
3008,C3380,C22529
3009,C881,C5030
3014,C3380,C22841
3016,C1300,C706
3017,C2683,C706
3021,C1191,C1685
3026,C2303,C14832
3030,C354,C706
3041,C1936,C2079
3041,C814,C1685
3045,C2683,C585
3048,C2683,C46
3049,C2683,C743
3052,C2492,C457
3054,C5154,C1707
3056,C831,C1685
3061,C1295,C1685
3062,C1750,C1685
3066,C3380,C22841
3067,C64,C5030
3071,C4291,C706
3076,C2090,C586
3076,C3026,C921
3076,C3380,C22841
3078,C4112,C706
3080,C1936,C2079
3083,C3165,C529
3083,C3165,C706
3090,C3587,C1685
3107,C2320,C467
3108,C154,C1707
3112,C2492,C457
3113,C3143,C1707
3116,C436,C5030
3118,C5913,C706
3119,C4297,C706
3119,C94,C1707
3120,C1754,C706
3125,C3381,C5030
3126,C1796,C1707
3127,C3380,C22841
3136,C3254,C706
3138,C3380,C22841
3139,C4653,C706
3144,C3554,C1707
3144,C453,C5030
3145,C337,C1685
3149,C5111,C706
3152,C2321,C5030
3153,C3049,C528
3157,C5919,C467
3158,C5919,C2855
3158,C5919,C467
3160,C3694,C1685
3162,C5919,C467
3166,C5919,C467
3170,C2769,C5030
3172,C1692,C1707
3172,C2492,C457
3172,C5111,C1685
3174,C122,C1685
3175,C375,C586
3178,C5919,C1685
3179,C5919,C1685
3181,C5919,C1685
3182,C5323,C5030
3182,C768,C529
3183,C5919,C1685
3187,C2472,C706
3188,C3380,C22841
3192,C4352,C706
3195,C1515,C706
3196,C3026,C1183
3196,C5919,C2855
3197,C5919,C1685
3198,C421,C1065
3198,C5919,C2855
3200,C3380,C22841
3200,C5919,C612
3203,C194,C1707
3203,C5919,C612
3203,C843,C1685
3205,C5919,C612
3206,C5919,C612
3207,C5919,C612
3207,C768,C586
3208,C5913,C586
3209,C5919,C612
3210,C5919,C612
3211,C5919,C612
3213,C5919,C612
3214,C5919,C467
3214,C5919,C612
3215,C5919,C612
3215,C5919,C706
3216,C5919,C706
3217,C5919,C612
3218,C5919,C612
3219,C5919,C706
3220,C5919,C706
3221,C3380,C22841
3221,C5919,C612
3221,C5919,C706
3223,C5919,C706
3224,C5919,C706
3225,C5919,C467
3225,C5919,C612
3226,C2303,C9219
3226,C5919,C467
3227,C3122,C5030
3227,C5919,C467
3228,C315,C467
3228,C421,C1065
3230,C25059,C1685
3230,C5919,C467
3231,C25059,C1707
3231,C5919,C467
3232,C2492,C457
3233,C5919,C467
3234,C5919,C467
3235,C5919,C467
3237,C768,C1065
3238,C5919,C457
3240,C274,C706
3245,C1300,C5030
3245,C5919,C1065
3245,C5919,C706
3246,C5919,C1065
3250,C4291,C1685
3254,C5919,C467
3256,C5778,C586
3257,C5778,C457
3260,C22976,C1685
3261,C22976,C1707
3262,C1205,C1685
3262,C3380,C22841
3264,C5919,C467
3265,C5919,C467
3268,C2871,C706
3274,C515,C706
3274,C768,C706
3280,C1506,C1707
3287,C831,C5030
3290,C4616,C2436
3292,C2492,C457
3297,C814,C2109
3299,C2492,C457
3310,C3380,C22841
3314,C1108,C5030
3316,C5778,C457
3317,C5778,C612
3319,C5778,C625
3323,C992,C5030
3324,C3380,C22841
3325,C2303,C5030
3328,C5778,C743
3331,C5778,C5720
3337,C920,C706
3340,C1191,C625
3340,C1796,C706
3340,C1936,C706
3340,C19517,C1685
3340,C19517,C1707
3343,C1506,C5030
3345,C2989,C1707
3346,C2827,C5030
3352,C2492,C457
3354,C4988,C5030
3362,C3235,C1065
3367,C4753,C1707
3371,C1435,C1707
3371,C159,C359
3371,C3380,C22841
3375,C5279,C706
3377,C4291,C1944
3382,C409,C706
3386,C3380,C22841
3395,C5902,C1685
3396,C5902,C1685
3401,C2496,C706
3404,C159,C1065
3409,C3440,C231
3410,C5337,C706
3412,C2492,C457
3425,C1108,C1685
3426,C1108,C1685
3428,C2769,C2162
3432,C3380,C22841
3435,C3026,C61
3436,C161,C359
3437,C3484,C5030
3444,C1357,C1707
3448,C2303,C6492
3448,C3380,C22841
3459,C3534,C706
3460,C3044,C1707
3461,C3451,C5720
3462,C3451,C585
3462,C4618,C5030
3464,C2159,C5030
3472,C2492,C457
3473,C421,C5030
3474,C3554,C529
3478,C2798,C1685
3478,C3629,C1685
3481,C1243,C706
3483,C5919,C467
3484,C5919,C467
3486,C20312,C1685
3486,C20312,C1707
3487,C5919,C467
3488,C657,C229
3493,C3380,C22841
3495,C1645,C706
3495,C4693,C706
3510,C3380,C22841
3512,C5919,C612
3517,C5919,C1685
3517,C5919,C612
3518,C5919,C1685
3518,C814,C706
3520,C5778,C528
3521,C3380,C22841
3522,C5778,C528
3522,C5919,C612
3522,C5919,C706
3523,C5778,C528
3523,C5919,C706
3525,C5778,C528
3526,C5778,C706
3526,C5919,C612
3527,C94,C1065
3528,C5778,C706
3529,C5778,C528
3531,C4753,C706
3532,C2492,C457
3532,C5919,C529
3533,C5919,C529
3534,C5919,C1065
3535,C5919,C1065
3536,C2480,C1707
3537,C5919,C529
3538,C5919,C529
3539,C3254,C1707
3539,C4254,C743
3540,C5913,C1685
3542,C4515,C529
3542,C5919,C612
3547,C5919,C612
3548,C3374,C1707
3550,C3238,C5030
3551,C806,C706
3555,C3026,C606
3559,C4254,C1685
3572,C3380,C22841
3576,C1936,C1944
3578,C2459,C5030
3578,C3457,C5030
3587,C4271,C706
3592,C2492,C457
3599,C2320,C5588
3599,C2492,C457
3602,C1750,C1604
3602,C5782,C16712
3603,C2201,C528
3603,C3554,C529
3603,C366,C368
3606,C1748,C467
3608,C3607,C1685
3609,C3607,C1707
3615,C3380,C22841
3617,C2303,C8970
3619,C5919,C467
3620,C17733,C359
3623,C5919,C467
3627,C5902,C359
3634,C3380,C22841
3643,C2428,C586
3649,C5778,C706
3652,C2492,C457
3653,C2428,C529
3653,C2492,C457
3653,C608,C706
3658,C2850,C359
3659,C19131,C1685
3659,C19131,C1707
3661,C4653,C5030
3662,C14014,C1883
3662,C14270,C1883
3662,C17276,C1883
3662,C18345,C1883
3662,C18636,C1883
3662,C19131,C1883
3662,C22442,C1883
3662,C23931,C1883
3662,C26743,C26743
3662,C5904,C1883
3663,C17065,C1883
3663,C24436,C24436
3663,C24806,C1883
3663,C27086,C1883
3663,C3607,C1883
3663,C9201,C1883
3664,C1006,C1604
3664,C2472,C1710
3665,C1108,C706
3666,C14343,C1883
3667,C2436,C5030
3667,C25022,C1883
3668,C22976,C1883
3669,C2517,C1707
3671,C16137,C1883
3673,C23640,C1883
3674,C23396,C1883
3674,C2428,C1685
3674,C3198,C1707
3674,C5778,C612
3675,C5778,C457
3676,C3380,C22841
3677,C5778,C529
3677,C5778,C586
3679,C13488,C1883
3681,C4651,C1707
3684,C5778,C1685
3685,C5778,C1685
3686,C2428,C1065
3696,C3380,C22841
3699,C5778,C625
3704,C2492,C457
3706,C5778,C625
3707,C5778,C625
3708,C5778,C529
3711,C5778,C625
3712,C1954,C5030
3713,C2492,C457
3713,C5778,C457
3718,C2428,C5030
3720,C3440,C467
3720,C5778,C586
3722,C5919,C26737
3723,C5919,C26737
3724,C5919,C26737
3725,C5919,C26737
3726,C5778,C529
3728,C5778,C529
3728,C5919,C26737
3729,C5919,C26737
3730,C5919,C26737
3731,C5919,C26737
3732,C3554,C529
3732,C5919,C26737
3732,C5919,C467
3735,C5919,C26737
3735,C5919,C467
3736,C5919,C26737
3737,C3380,C22841
3737,C5919,C26737
3738,C5778,C625
3738,C5919,C26737
